time.d	scdev	instar	survival	temp.C
8.8	0.16988417	1	0.9	25.9
16.4	0.316602317	2	0.7	25.9
27.1	0.523166023	3	0.4767	25.9
40.5	0.781853282	4	0.3789765	25.9
51.8	1	5	0.319098213	25.9
6.2	0.148681055	1	0.963	26.8
14.3	0.342925659	2	0.81855	26.8
21.6	0.517985612	3	0.65484	26.8
31.7	0.760191847	4	0.53893332	26.8
41.7	1	5	0.468871988	26.8
5.7	0.162857143	1	0.97	28.5
11.7	0.334285714	2	0.86524	28.5
18.2	0.52	3	0.84880044	28.5
26.2	0.748571429	4	0.763071596	28.5
35	1	5	0.676844505	28.5
4.1	0.192488263	1	0.975	32
8.5	0.399061033	2	0.952575	32
13.1	0.615023474	3	0.8306454	32
17.5	0.821596244	4	0.688605037	32
21.3	1	5	0.654174785	32
3.6	0.183673469	1	0.9	36
7.4	0.37755102	2	0.7551	36
11.9	0.607142857	3	0.6259779	36
16.1	0.821428571	4	0.609702475	36
19.6	1	5	0.541415797	36
3	0.167597765	1	0.641	39
7	0.391061453	2	0.616001	39
10	0.558659218	3	0.590128958	39
14.9	0.832402235	4	0.557671865	39
17.9	1	5	0.492424257	39
12.6	NA	1	0.64	22.6
25.8	NA	2	0.29056	22.6
48.6	NA	3	0.13423872	22.6
3.2	NA	1	0.475	41
6.9	NA	2	0.33535	41
23.6	NA	1	0.148	20.6
